TALX,TALY,TALZ,BA,MNIX,MNIY,MNIZ
-56,-6,-26,Left-Temporalpole (38),-59,-2,-33
-54,-6,-26,Left-Temporalpole (38),-57,-2,-33
-52,-6,-26,Left-Temporalpole (38),-54,-2,-33
-50,-6,-26,Left-Temporalpole (38),-52,-2,-33
-64,-4,-26,Outside defined BAs,-67,0,-33
-62,-4,-26,Outside defined BAs,-65,0,-33
-60,-4,-26,Outside defined BAs,-63,0,-33
-58,-4,-26,Outside defined BAs,-61,0,-33
-56,-4,-26,Left-Temporalpole (38),-58,0,-33
-54,-4,-26,Left-Temporalpole (38),-56,0,-33
-52,-4,-26,Left-Temporalpole (38),-54,0,-33
-50,-4,-26,Left-Temporalpole (38),-52,0,-33
-48,-4,-26,Left-Temporalpole (38),-50,0,-33
-46,-4,-26,Left-Temporalpole (38),-48,0,-33
-44,-4,-26,Left-Temporalpole (38),-46,0,-33
-62,-2,-26,Outside defined BAs,-64,3,-33
-60,-2,-26,Outside defined BAs,-62,3,-33
-58,-2,-26,Left-Temporalpole (38),-60,2,-33
-56,-2,-26,Left-Temporalpole (38),-58,2,-33
-54,-2,-26,Left-Temporalpole (38),-56,2,-33
-52,-2,-26,Left-Temporalpole (38),-54,2,-33
-50,-2,-26,Left-Temporalpole (38),-52,2,-33
-48,-2,-26,Left-Temporalpole (38),-50,2,-33
-46,-2,-26,Left-Temporalpole (38),-48,2,-33
-44,-2,-26,Left-Temporalpole (38),-46,2,-33
-62,0,-26,Outside defined BAs,-64,5,-33
-60,0,-26,Outside defined BAs,-62,5,-33
-58,0,-26,Outside defined BAs,-60,5,-33
-56,0,-26,Left-Temporalpole (38),-58,5,-33
-54,0,-26,Left-Temporalpole (38),-56,5,-33
-52,0,-26,Left-Temporalpole (38),-54,5,-33
-50,0,-26,Left-Temporalpole (38),-52,5,-33
-48,0,-26,Left-Temporalpole (38),-50,5,-33
-46,0,-26,Left-Temporalpole (38),-48,5,-33
-44,0,-26,Left-Temporalpole (38),-46,4,-33
-62,2,-26,Outside defined BAs,-64,8,-33
-60,2,-26,Outside defined BAs,-62,8,-33
-58,2,-26,Outside defined BAs,-60,8,-33
-56,2,-26,Outside defined BAs,-58,8,-33
-54,2,-26,Left-Temporalpole (38),-56,8,-33
-52,2,-26,Left-Temporalpole (38),-54,8,-33
-50,2,-26,Left-Temporalpole (38),-52,8,-33
-48,2,-26,Left-Temporalpole (38),-50,8,-33
-46,2,-26,Left-Temporalpole (38),-48,8,-33
-44,2,-26,Left-Temporalpole (38),-45,8,-33
-62,4,-26,Outside defined BAs,-64,10,-33
-60,4,-26,Outside defined BAs,-62,10,-33
-58,4,-26,Outside defined BAs,-60,10,-33
-56,4,-26,Outside defined BAs,-58,10,-33
-54,4,-26,Outside defined BAs,-56,10,-33
-52,4,-26,Left-Temporalpole (38),-54,10,-33
-50,4,-26,Left-Temporalpole (38),-52,10,-33
-48,4,-26,Left-Temporalpole (38),-50,10,-33
-46,4,-26,Left-Temporalpole (38),-47,10,-33
-44,4,-26,Left-Temporalpole (38),-45,10,-33
-58,6,-26,Outside defined BAs,-60,12,-33
-56,6,-26,Outside defined BAs,-58,12,-33
-54,6,-26,Outside defined BAs,-56,12,-33
-52,6,-26,Left-Temporalpole (38),-54,12,-33
-50,6,-26,Left-Temporalpole (38),-52,12,-33
-48,6,-26,Left-Temporalpole (38),-49,12,-33
-46,6,-26,Left-Temporalpole (38),-47,12,-33
-56,8,-26,Outside defined BAs,-58,14,-33
-54,8,-26,Outside defined BAs,-56,14,-33
-52,8,-26,Outside defined BAs,-54,14,-33
-50,8,-26,Left-Temporalpole (38),-52,14,-33
-52,10,-26,Outside defined BAs,-54,16,-33
-64,-18,-24,Outside defined BAs,-68,-15,-31
-62,-18,-24,Outside defined BAs,-65,-15,-31
-60,-18,-24,Outside defined BAs,-63,-15,-31
-58,-18,-24,Outside defined BAs,-61,-15,-31
-56,-18,-24,Outside defined BAs,-59,-15,-31
-54,-18,-24,Left-InfTempGyrus (20),-57,-15,-31
-52,-18,-24,Left-InfTempGyrus (20),-55,-15,-31
-64,-16,-24,Outside defined BAs,-67,-13,-31
-62,-16,-24,Outside defined BAs,-65,-13,-31
-60,-16,-24,Outside defined BAs,-63,-13,-31
-58,-16,-24,Outside defined BAs,-61,-13,-31
-56,-16,-24,Outside defined BAs,-59,-13,-31
-54,-16,-24,Left-InfTempGyrus (20),-57,-13,-31
-52,-16,-24,Left-InfTempGyrus (20),-55,-13,-31
-50,-16,-24,Left-InfTempGyrus (20),-53,-13,-31
-48,-16,-24,Left-InfTempGyrus (20),-51,-13,-31
-64,-14,-24,Outside defined BAs,-67,-11,-31
-62,-14,-24,Outside defined BAs,-65,-11,-31
-60,-14,-24,Outside defined BAs,-63,-11,-31
-58,-14,-24,Outside defined BAs,-61,-11,-31
-56,-14,-24,Left-InfTempGyrus (20),-59,-11,-31
-54,-14,-24,Left-InfTempGyrus (20),-57,-11,-31
-52,-14,-24,Left-InfTempGyrus (20),-55,-11,-31
-50,-14,-24,Left-InfTempGyrus (20),-53,-11,-31
-48,-14,-24,Left-InfTempGyrus (20),-51,-11,-31
-46,-14,-24,Left-InfTempGyrus (20),-49,-11,-31
-64,-12,-24,Outside defined BAs,-67,-8,-31
-62,-12,-24,Outside defined BAs,-65,-8,-31
-60,-12,-24,Outside defined BAs,-63,-9,-31
-58,-12,-24,Outside defined BAs,-61,-9,-31
-56,-12,-24,Left-InfTempGyrus (20),-59,-9,-31
-54,-12,-24,Left-InfTempGyrus (20),-57,-9,-31
-52,-12,-24,Left-InfTempGyrus (20),-55,-9,-31
-50,-12,-24,Left-InfTempGyrus (20),-53,-9,-31
-48,-12,-24,Left-InfTempGyrus (20),-51,-9,-31
-46,-12,-24,Left-InfTempGyrus (20),-49,-9,-31
-64,-10,-24,Outside defined BAs,-67,-6,-31
-62,-10,-24,Outside defined BAs,-65,-6,-31
-60,-10,-24,Outside defined BAs,-63,-6,-31
-58,-10,-24,Outside defined BAs,-61,-6,-31
-56,-10,-24,Outside defined BAs,-59,-6,-31
-54,-10,-24,Left-InfTempGyrus (20),-57,-7,-31
-52,-10,-24,Left-InfTempGyrus (20),-55,-7,-31
-50,-10,-24,Left-InfTempGyrus (20),-53,-7,-31
-48,-10,-24,Left-InfTempGyrus (20),-51,-7,-31
-46,-10,-24,Left-InfTempGyrus (20),-48,-7,-31
-64,-8,-24,Outside defined BAs,-67,-4,-31
-62,-8,-24,Outside defined BAs,-65,-4,-31
-60,-8,-24,Outside defined BAs,-63,-4,-31
-58,-8,-24,Outside defined BAs,-61,-4,-31
-56,-8,-24,Left-Temporalpole (38),-59,-4,-31
-54,-8,-24,Left-Temporalpole (38),-58,-4,-31
-52,-8,-24,Left-InfTempGyrus (20),-55,-4,-31
-50,-8,-24,Left-InfTempGyrus (20),-53,-5,-31
-48,-8,-24,Left-InfTempGyrus (20),-50,-5,-31
-46,-8,-24,Left-InfTempGyrus (20),-48,-5,-31
-64,-6,-24,Outside defined BAs,-67,-2,-31
-62,-6,-24,Outside defined BAs,-65,-2,-31
-60,-6,-24,Outside defined BAs,-63,-2,-31
-58,-6,-24,Left-Temporalpole (38),-61,-2,-31
-56,-6,-24,Left-Temporalpole (38),-59,-2,-31
-54,-6,-24,Left-Temporalpole (38),-57,-2,-31
-52,-6,-24,Left-Temporalpole (38),-55,-2,-31
-50,-6,-24,Left-Temporalpole (38),-52,-2,-31
-48,-6,-24,Left-Temporalpole (38),-50,-2,-31
-46,-6,-24,Left-Temporalpole (38),-48,-2,-31
-64,-4,-24,Outside defined BAs,-67,0,-31
-62,-4,-24,Outside defined BAs,-65,0,-31
-60,-4,-24,Outside defined BAs,-63,0,-31
-58,-4,-24,Left-Temporalpole (38),-61,0,-31
-56,-4,-24,Left-Temporalpole (38),-59,0,-31
-54,-4,-24,Left-Temporalpole (38),-56,0,-31
-52,-4,-24,Left-Temporalpole (38),-54,0,-31
-50,-4,-24,Left-Temporalpole (38),-52,0,-31
-48,-4,-24,Left-Temporalpole (38),-50,0,-31
-46,-4,-24,Left-Temporalpole (38),-48,0,-31
-62,-2,-24,Outside defined BAs,-65,2,-31
-60,-2,-24,Outside defined BAs,-63,2,-31
-58,-2,-24,Left-Temporalpole (38),-60,2,-31
-56,-2,-24,Left-Temporalpole (38),-58,2,-31
